,location,date,total_cases,new_cases,total_deaths,new_deaths,population,cases_per_million
50322,Brazil,2020-04-02,3417.0,0.0,92.0,0.0,215313504,1.5869882457535037e-05
50323,Brazil,2020-04-03,3417.0,0.0,92.0,0.0,215313504,1.5869882457535037e-05
50324,Brazil,2020-04-04,3417.0,0.0,92.0,0.0,215313504,1.5869882457535037e-05
50325,Brazil,2020-04-05,9056.0,5639.0,359.0,267.0,215313504,4.205960068347594e-05
50326,Brazil,2020-04-06,9056.0,0.0,359.0,0.0,215313504,4.205960068347594e-05
50327,Brazil,2020-04-07,9056.0,0.0,359.0,0.0,215313504,4.205960068347594e-05
50328,Brazil,2020-04-08,9056.0,0.0,359.0,0.0,215313504,4.205960068347594e-05
50329,Brazil,2020-04-09,9056.0,0.0,359.0,0.0,215313504,4.205960068347594e-05
50330,Brazil,2020-04-10,9056.0,0.0,359.0,0.0,215313504,4.205960068347594e-05
50331,Brazil,2020-04-11,9056.0,0.0,359.0,0.0,215313504,4.205960068347594e-05
50332,Brazil,2020-04-12,19638.0,10582.0,1056.0,697.0,215313504,9.12065413231118e-05
50333,Brazil,2020-04-13,19638.0,0.0,1056.0,0.0,215313504,9.12065413231118e-05
50334,Brazil,2020-04-14,19638.0,0.0,1056.0,0.0,215313504,9.12065413231118e-05
50335,Brazil,2020-04-15,19638.0,0.0,1056.0,0.0,215313504,9.12065413231118e-05
50336,Brazil,2020-04-16,19638.0,0.0,1056.0,0.0,215313504,9.12065413231118e-05
50337,Brazil,2020-04-17,19638.0,0.0,1056.0,0.0,215313504,9.12065413231118e-05
50338,Brazil,2020-04-18,19638.0,0.0,1056.0,0.0,215313504,9.12065413231118e-05
50339,Brazil,2020-04-19,33682.0,14044.0,2141.0,1085.0,215313504,0.00015643236199435034
50340,Brazil,2020-04-20,33682.0,0.0,2141.0,0.0,215313504,0.00015643236199435034
50341,Brazil,2020-04-21,33682.0,0.0,2141.0,0.0,215313504,0.00015643236199435034
50342,Brazil,2020-04-22,33682.0,0.0,2141.0,0.0,215313504,0.00015643236199435034
50343,Brazil,2020-04-23,33682.0,0.0,2141.0,0.0,215313504,0.00015643236199435034
50344,Brazil,2020-04-24,33682.0,0.0,2141.0,0.0,215313504,0.00015643236199435034
50345,Brazil,2020-04-25,33682.0,0.0,2141.0,0.0,215313504,0.00015643236199435034
50346,Brazil,2020-04-26,52995.0,19313.0,3670.0,1529.0,215313504,0.0002461294763936404
50347,Brazil,2020-04-27,52995.0,0.0,3670.0,0.0,215313504,0.0002461294763936404
50348,Brazil,2020-04-28,52995.0,0.0,3670.0,0.0,215313504,0.0002461294763936404
50349,Brazil,2020-04-29,52995.0,0.0,3670.0,0.0,215313504,0.0002461294763936404
50350,Brazil,2020-04-30,52995.0,0.0,3670.0,0.0,215313504,0.0002461294763936404
50351,Brazil,2020-05-01,52995.0,0.0,3670.0,0.0,215313504,0.0002461294763936404
50352,Brazil,2020-05-02,52995.0,0.0,3670.0,0.0,215313504,0.0002461294763936404
50353,Brazil,2020-05-03,91589.0,38594.0,6329.0,2659.0,215313504,0.00042537508469510577
50354,Brazil,2020-05-04,91589.0,0.0,6329.0,0.0,215313504,0.00042537508469510577
50355,Brazil,2020-05-05,91589.0,0.0,6329.0,0.0,215313504,0.00042537508469510577
50356,Brazil,2020-05-06,91589.0,0.0,6329.0,0.0,215313504,0.00042537508469510577
50357,Brazil,2020-05-07,91589.0,0.0,6329.0,0.0,215313504,0.00042537508469510577
50358,Brazil,2020-05-08,91589.0,0.0,6329.0,0.0,215313504,0.00042537508469510577
50359,Brazil,2020-05-09,91589.0,0.0,6329.0,0.0,215313504,0.00042537508469510577
50360,Brazil,2020-05-10,145328.0,53739.0,9897.0,3568.0,215313504,0.0006749599876466643
50361,Brazil,2020-05-11,145328.0,0.0,9897.0,0.0,215313504,0.0006749599876466643
50362,Brazil,2020-05-12,145328.0,0.0,9897.0,0.0,215313504,0.0006749599876466643
50363,Brazil,2020-05-13,145328.0,0.0,9897.0,0.0,215313504,0.0006749599876466643
50364,Brazil,2020-05-14,145328.0,0.0,9897.0,0.0,215313504,0.0006749599876466643
50365,Brazil,2020-05-15,145328.0,0.0,9897.0,0.0,215313504,0.0006749599876466643
50366,Brazil,2020-05-16,145328.0,0.0,9897.0,0.0,215313504,0.0006749599876466643
50367,Brazil,2020-05-17,218223.0,72895.0,14817.0,4920.0,215313504,0.0010135128356835435
50368,Brazil,2020-05-18,218223.0,0.0,14817.0,0.0,215313504,0.0010135128356835435
50369,Brazil,2020-05-19,218223.0,0.0,14817.0,0.0,215313504,0.0010135128356835435
50370,Brazil,2020-05-20,218223.0,0.0,14817.0,0.0,215313504,0.0010135128356835435
50371,Brazil,2020-05-21,218223.0,0.0,14817.0,0.0,215313504,0.0010135128356835435
50372,Brazil,2020-05-22,218223.0,0.0,14817.0,0.0,215313504,0.0010135128356835435
50373,Brazil,2020-05-23,218223.0,0.0,14817.0,0.0,215313504,0.0010135128356835435
50374,Brazil,2020-05-24,330890.0,112667.0,21048.0,6231.0,215313504,0.001536782384071925
50375,Brazil,2020-05-25,330890.0,0.0,21048.0,0.0,215313504,0.001536782384071925
50376,Brazil,2020-05-26,330890.0,0.0,21048.0,0.0,215313504,0.001536782384071925
50377,Brazil,2020-05-27,330890.0,0.0,21048.0,0.0,215313504,0.001536782384071925
50378,Brazil,2020-05-28,330890.0,0.0,21048.0,0.0,215313504,0.001536782384071925
50379,Brazil,2020-05-29,330890.0,0.0,21048.0,0.0,215313504,0.001536782384071925
50380,Brazil,2020-05-30,330890.0,0.0,21048.0,0.0,215313504,0.001536782384071925
50381,Brazil,2020-05-31,465166.0,134276.0,27878.0,6830.0,215313504,0.0021604125675275805
50382,Brazil,2020-06-01,465166.0,0.0,27878.0,0.0,215313504,0.0021604125675275805
50383,Brazil,2020-06-02,465166.0,0.0,27878.0,0.0,215313504,0.0021604125675275805
50384,Brazil,2020-06-03,465166.0,0.0,27878.0,0.0,215313504,0.0021604125675275805
50385,Brazil,2020-06-04,465166.0,0.0,27878.0,0.0,215313504,0.0021604125675275805
50386,Brazil,2020-06-05,465166.0,0.0,27878.0,0.0,215313504,0.0021604125675275805
50387,Brazil,2020-06-06,465166.0,0.0,27878.0,0.0,215313504,0.0021604125675275805
50388,Brazil,2020-06-07,645771.0,180605.0,35026.0,7148.0,215313504,0.0029992127200716588
50389,Brazil,2020-06-08,645771.0,0.0,35026.0,0.0,215313504,0.0029992127200716588
50390,Brazil,2020-06-09,645771.0,0.0,35026.0,0.0,215313504,0.0029992127200716588
50391,Brazil,2020-06-10,645771.0,0.0,35026.0,0.0,215313504,0.0029992127200716588
50392,Brazil,2020-06-11,645771.0,0.0,35026.0,0.0,215313504,0.0029992127200716588
50393,Brazil,2020-06-12,645771.0,0.0,35026.0,0.0,215313504,0.0029992127200716588
50394,Brazil,2020-06-13,645771.0,0.0,35026.0,0.0,215313504,0.0029992127200716588
50395,Brazil,2020-06-14,828810.0,183039.0,41828.0,6802.0,215313504,0.0038493173191775283
50396,Brazil,2020-06-15,828810.0,0.0,41828.0,0.0,215313504,0.0038493173191775283
50397,Brazil,2020-06-16,828810.0,0.0,41828.0,0.0,215313504,0.0038493173191775283
50398,Brazil,2020-06-17,828810.0,0.0,41828.0,0.0,215313504,0.0038493173191775283
50399,Brazil,2020-06-18,828810.0,0.0,41828.0,0.0,215313504,0.0038493173191775283
50400,Brazil,2020-06-19,828810.0,0.0,41828.0,0.0,215313504,0.0038493173191775283
50401,Brazil,2020-06-20,828810.0,0.0,41828.0,0.0,215313504,0.0038493173191775283
50402,Brazil,2020-06-21,1032913.0,204103.0,48954.0,7126.0,215313504,0.004797251360509186
50403,Brazil,2020-06-22,1032913.0,0.0,48954.0,0.0,215313504,0.004797251360509186
50404,Brazil,2020-06-23,1032913.0,0.0,48954.0,0.0,215313504,0.004797251360509186
50405,Brazil,2020-06-24,1032913.0,0.0,48954.0,0.0,215313504,0.004797251360509186
50406,Brazil,2020-06-25,1032913.0,0.0,48954.0,0.0,215313504,0.004797251360509186
50407,Brazil,2020-06-26,1032913.0,0.0,48954.0,0.0,215313504,0.004797251360509186
50408,Brazil,2020-06-27,1032913.0,0.0,48954.0,0.0,215313504,0.004797251360509186
50409,Brazil,2020-06-28,1274974.0,242061.0,55961.0,7007.0,215313504,0.005921477177762153
50410,Brazil,2020-06-29,1274974.0,0.0,55961.0,0.0,215313504,0.005921477177762153
50411,Brazil,2020-06-30,1274974.0,0.0,55961.0,0.0,215313504,0.005921477177762153
50412,Brazil,2020-07-01,1274974.0,0.0,55961.0,0.0,215313504,0.005921477177762153
50413,Brazil,2020-07-02,1274974.0,0.0,55961.0,0.0,215313504,0.005921477177762153
50414,Brazil,2020-07-03,1274974.0,0.0,55961.0,0.0,215313504,0.005921477177762153
50415,Brazil,2020-07-04,1274974.0,0.0,55961.0,0.0,215313504,0.005921477177762153
50416,Brazil,2020-07-05,1539081.0,264107.0,63174.0,7213.0,215313504,0.007148093228746117
50417,Brazil,2020-07-06,1539081.0,0.0,63174.0,0.0,215313504,0.007148093228746117
50418,Brazil,2020-07-07,1539081.0,0.0,63174.0,0.0,215313504,0.007148093228746117
50419,Brazil,2020-07-08,1539081.0,0.0,63174.0,0.0,215313504,0.007148093228746117
50420,Brazil,2020-07-09,1539081.0,0.0,63174.0,0.0,215313504,0.007148093228746117
50421,Brazil,2020-07-10,1539081.0,0.0,63174.0,0.0,215313504,0.007148093228746117
50422,Brazil,2020-07-11,1539081.0,0.0,63174.0,0.0,215313504,0.007148093228746117
50423,Brazil,2020-07-12,1800827.0,261746.0,70398.0,7224.0,215313504,0.008363743873677333
50424,Brazil,2020-07-13,1800827.0,0.0,70398.0,0.0,215313504,0.008363743873677333
50425,Brazil,2020-07-14,1800827.0,0.0,70398.0,0.0,215313504,0.008363743873677333
50426,Brazil,2020-07-15,1800827.0,0.0,70398.0,0.0,215313504,0.008363743873677333
50427,Brazil,2020-07-16,1800827.0,0.0,70398.0,0.0,215313504,0.008363743873677333
50428,Brazil,2020-07-17,1800827.0,0.0,70398.0,0.0,215313504,0.008363743873677333
50429,Brazil,2020-07-18,1800827.0,0.0,70398.0,0.0,215313504,0.008363743873677333
50430,Brazil,2020-07-19,2046328.0,245501.0,77851.0,7453.0,215313504,0.009503946394370136
50431,Brazil,2020-07-20,2046328.0,0.0,77851.0,0.0,215313504,0.009503946394370136
50432,Brazil,2020-07-21,2046328.0,0.0,77851.0,0.0,215313504,0.009503946394370136
50433,Brazil,2020-07-22,2046328.0,0.0,77851.0,0.0,215313504,0.009503946394370136
50434,Brazil,2020-07-23,2046328.0,0.0,77851.0,0.0,215313504,0.009503946394370136
50435,Brazil,2020-07-24,2046328.0,0.0,77851.0,0.0,215313504,0.009503946394370136
50436,Brazil,2020-07-25,2046328.0,0.0,77851.0,0.0,215313504,0.009503946394370136
50437,Brazil,2020-07-26,2343366.0,297038.0,85238.0,7387.0,215313504,0.01088350687005679
50438,Brazil,2020-07-27,2343366.0,0.0,85238.0,0.0,215313504,0.01088350687005679
50439,Brazil,2020-07-28,2343366.0,0.0,85238.0,0.0,215313504,0.01088350687005679
50440,Brazil,2020-07-29,2343366.0,0.0,85238.0,0.0,215313504,0.01088350687005679
50441,Brazil,2020-07-30,2343366.0,0.0,85238.0,0.0,215313504,0.01088350687005679
50442,Brazil,2020-07-31,2343366.0,0.0,85238.0,0.0,215313504,0.01088350687005679
50443,Brazil,2020-08-01,2343366.0,0.0,85238.0,0.0,215313504,0.01088350687005679
50444,Brazil,2020-08-02,2662485.0,319119.0,92475.0,7237.0,215313504,0.012365620133143159
50445,Brazil,2020-08-03,2662485.0,0.0,92475.0,0.0,215313504,0.012365620133143159
50446,Brazil,2020-08-04,2662485.0,0.0,92475.0,0.0,215313504,0.012365620133143159
50447,Brazil,2020-08-05,2662485.0,0.0,92475.0,0.0,215313504,0.012365620133143159
50448,Brazil,2020-08-06,2662485.0,0.0,92475.0,0.0,215313504,0.012365620133143159
50449,Brazil,2020-08-07,2662485.0,0.0,92475.0,0.0,215313504,0.012365620133143159
50450,Brazil,2020-08-08,2662485.0,0.0,92475.0,0.0,215313504,0.012365620133143159
50451,Brazil,2020-08-09,2962442.0,299957.0,99572.0,7097.0,215313504,0.013758737584800998
50452,Brazil,2020-08-10,2962442.0,0.0,99572.0,0.0,215313504,0.013758737584800998
50453,Brazil,2020-08-11,2962442.0,0.0,99572.0,0.0,215313504,0.013758737584800998
50454,Brazil,2020-08-12,2962442.0,0.0,99572.0,0.0,215313504,0.013758737584800998
50455,Brazil,2020-08-13,2962442.0,0.0,99572.0,0.0,215313504,0.013758737584800998
50456,Brazil,2020-08-14,2962442.0,0.0,99572.0,0.0,215313504,0.013758737584800998
50457,Brazil,2020-08-15,2962442.0,0.0,99572.0,0.0,215313504,0.013758737584800998
50458,Brazil,2020-08-16,3275520.0,313078.0,106523.0,6951.0,215313504,0.015212794084666421
50459,Brazil,2020-08-17,3275520.0,0.0,106523.0,0.0,215313504,0.015212794084666421
50460,Brazil,2020-08-18,3275520.0,0.0,106523.0,0.0,215313504,0.015212794084666421
50461,Brazil,2020-08-19,3275520.0,0.0,106523.0,0.0,215313504,0.015212794084666421
50462,Brazil,2020-08-20,3275520.0,0.0,106523.0,0.0,215313504,0.015212794084666421
50463,Brazil,2020-08-21,3275520.0,0.0,106523.0,0.0,215313504,0.015212794084666421
50464,Brazil,2020-08-22,3275520.0,0.0,106523.0,0.0,215313504,0.015212794084666421
50465,Brazil,2020-08-23,3532330.0,256810.0,113358.0,6835.0,215313504,0.016405520017917688
50466,Brazil,2020-08-24,3532330.0,0.0,113358.0,0.0,215313504,0.016405520017917688
50467,Brazil,2020-08-25,3532330.0,0.0,113358.0,0.0,215313504,0.016405520017917688
50468,Brazil,2020-08-26,3532330.0,0.0,113358.0,0.0,215313504,0.016405520017917688
50469,Brazil,2020-08-27,3532330.0,0.0,113358.0,0.0,215313504,0.016405520017917688
50470,Brazil,2020-08-28,3532330.0,0.0,113358.0,0.0,215313504,0.016405520017917688
50471,Brazil,2020-08-29,3532330.0,0.0,113358.0,0.0,215313504,0.016405520017917688
